transaction_id,customer_id,transaction_amount,transaction_time,customer_age,account_age_days,transaction_count_24h,average_transaction_amount,merchant_category,device_type,location,previous_fraud_count,failed_attempts,is_fraud
TXN_0000022,CUST_004327,164.39,2024-03-30 10:01:59,27.0,841,1,111.64,Electronics,Mobile iOS,Domestic Urban,0,0,0
TXN_0000023,CUST_009997,31.23,2024-03-28 10:17:22,34.0,425,3,81.38,Grocery,Mobile iOS,Domestic Urban,0,0,0
TXN_0000024,CUST_005908,30.93,2024-03-11 14:08:51,62.0,160,1,52.85,Dining,Mobile Android,Domestic Urban,0,0,0
TXN_0000025,CUST_006625,49.64,2024-04-13 08:12:07,42.0,1750,1,50.69,Dining,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000026,CUST_001170,78.61,2024-03-15 17:52:10,46.0,374,1,53.02,Dining,Mobile Android,Domestic Urban,0,0,0
TXN_0000027,CUST_003521,105.24,2024-03-11 14:03:17,34.0,1934,2,62.06,Grocery,Desktop Chrome,Domestic Urban,0,0,0
TXN_0000028,CUST_000911,100.5,2024-03-22 12:32:43,49.0,393,2,61.48,Gas & Fuel,Mobile iOS,Domestic Urban,0,0,0
TXN_0000029,CUST_010542,119.64,2024-03-02 07:04:25,66.0,59,1,105.3,Grocery,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000030,CUST_003775,25.21,2024-04-15 12:05:54,38.0,50,1,32.11,Grocery,Tablet,Domestic Urban,0,0,0
TXN_0000031,CUST_007170,325.69,2024-04-30 15:32:09,,272,5,315.74,Grocery,Mobile Android,Domestic Urban,0,0,0
TXN_0000032,CUST_008830,96.18,2024-03-11 14:17:45,43.0,364,1,37.64,Travel,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000033,CUST_001217,58.14,2024-03-08 17:37:46,62.0,54,2,44.29,Gas & Fuel,Mobile iOS,Domestic Urban,0,0,0
TXN_0000034,CUST_010221,193.81,2024-04-22 12:18:52,64.0,113,2,323.49,Entertainment,,Domestic Urban,0,0,0
TXN_0000035,CUST_004132,469.19,2024-05-18 15:09:25,52.0,43,2,338.72,Online Retail,Desktop Chrome,Domestic Urban,0,0,0
TXN_0000036,CUST_008820,782.32,2024-05-16 17:08:52,32.0,258,1,338.32,Dining,Mobile iOS,Domestic Urban,0,0,0
TXN_0000037,CUST_001281,89.48,2024-04-16 10:22:01,35.0,252,1,88.05,Online Retail,Desktop Chrome,Domestic Suburban,0,0,0
TXN_0000038,CUST_009152,217.57,2024-03-16 17:30:19,66.0,153,2,255.68,Travel,Mobile Android,Domestic Urban,0,0,0
TXN_0000039,CUST_007969,73.37,2024-03-26 09:51:20,45.0,1318,1,64.14,Travel,Mobile Android,Domestic Urban,0,0,0
TXN_0000040,CUST_011985,399.81,2024-04-01 15:32:16,43.0,1031,3,255.24,Grocery,Mobile Android,Domestic Urban,0,0,0
TXN_0000041,CUST_011705,741.56,2024-05-06 14:31:08,35.0,1117,1,743.38,Travel,Mobile iOS,Domestic Rural,0,0,0
TXN_0000042,CUST_000357,180.46,2024-03-25 11:25:00,38.0,183,3,118.0,Online Retail,Desktop Chrome,International Online,0,0,0
TXN_0000043,CUST_006292,168.27,2024-05-26 12:45:21,43.0,275,1,85.66,Electronics,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000044,CUST_008992,54.96,2024-04-05 10:10:59,33.0,1062,3,50.42,Grocery,Tablet,Domestic Urban,0,0,0
TXN_0000045,CUST_008618,65.96,2024-05-02 15:02:55,50.0,174,3,57.67,Dining,Mobile Android,Domestic Urban,0,1,0
TXN_0000046,CUST_000793,1125.69,2024-04-20 13:18:53,49.0,703,1,1062.87,Travel,,Domestic Urban,0,0,0
TXN_0000047,CUST_008933,166.43,2024-03-25 16:25:16,22.0,50,2,248.77,Gas & Fuel,Mobile Android,Domestic Suburban,0,0,0
TXN_0000048,CUST_002121,463.19,2024-05-04 14:50:51,31.0,407,2,397.79,Grocery,Mobile Android,Domestic Urban,0,0,0
TXN_0000049,CUST_005329,3262.48,2024-03-12 02:42:39,38.0,32,12,399.17,Online Retail,Mobile Android,Domestic Urban,0,1,1
TXN_0000050,CUST_007618,19.46,2024-04-14 20:07:00,44.0,1722,1,49.31,Gas & Fuel,Mobile iOS,Domestic Urban,0,0,0
TXN_0000051,CUST_000096,37.82,2024-03-13 15:40:22,52.0,910,1,55.75,Grocery,Desktop Safari,Domestic Urban,0,0,0
TXN_0000052,CUST_000668,62.53,2024-03-03 09:56:41,18.0,148,1,115.04,Online Retail,Mobile iOS,Domestic Urban,0,0,0
TXN_0000053,CUST_008587,304.85,2024-04-20 21:30:06,32.0,2225,1,393.39,Grocery,Mobile Android,Domestic Suburban,0,0,0
TXN_0000054,CUST_009052,37.82,2024-04-08 15:10:50,65.0,1905,1,65.76,Grocery,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000055,CUST_008901,65.95,2024-05-02 21:45:26,,231,3,75.94,Dining,Mobile iOS,Domestic Suburban,0,1,0
TXN_0000056,CUST_006606,45.81,2024-03-03 20:01:33,41.0,280,3,47.5,Electronics,Mobile iOS,Domestic Urban,0,0,0
TXN_0000057,CUST_002163,39.97,2024-05-03 09:46:43,49.0,483,1,52.1,Online Retail,Mobile Android,Domestic Suburban,0,0,0
TXN_0000058,CUST_004113,89.01,2024-03-07 18:02:22,23.0,1283,1,51.59,Grocery,Mobile Android,Domestic Urban,0,0,0
TXN_0000059,CUST_010996,121.97,2024-03-15 08:40:21,43.0,610,2,107.0,Grocery,Mobile iOS,Domestic Rural,0,0,0
TXN_0000060,CUST_001890,74.44,2024-05-05 09:34:35,47.0,155,1,77.9,Gas & Fuel,Desktop Chrome,Domestic Rural,0,0,0
TXN_0000061,CUST_010786,43.18,2024-03-17 11:17:35,46.0,2073,1,85.62,Travel,Mobile iOS,Domestic Urban,0,0,0
TXN_0000062,CUST_009822,159.73,2024-05-08 17:22:35,34.0,840,2,80.43,Electronics,Mobile Android,Domestic Urban,0,0,0
TXN_0000063,CUST_006289,349.67,2024-05-22 15:29:53,53.0,2247,2,320.25,Electronics,Desktop Chrome,Domestic Urban,0,0,0
TXN_0000064,CUST_004670,37.39,2024-05-15 12:58:58,42.0,210,2,92.32,Dining,Mobile Android,Domestic Suburban,0,0,0
TXN_0000065,CUST_002122,49.13,2024-05-03 12:35:16,30.0,1547,2,59.68,Grocery,Desktop Chrome,Domestic Rural,0,0,0
TXN_0000066,CUST_005170,43.58,2024-05-17 08:09:12,54.0,1115,2,63.64,Dining,Desktop Chrome,Domestic Urban,0,0,0
TXN_0000067,CUST_003339,505.84,2024-03-26 23:52:47,33.0,635,3,407.13,Gas & Fuel,Mobile Android,Domestic Urban,0,0,0
TXN_0000068,CUST_001097,51.83,2024-03-18 12:21:48,49.0,574,2,49.94,Grocery,Mobile iOS,Domestic Urban,0,0,0
TXN_0000069,CUST_008167,25.94,2024-03-11 16:55:43,50.0,472,1,91.15,Entertainment,Tablet,Domestic Suburban,0,0,0
TXN_0000070,CUST_001035,269.48,2024-04-20 08:13:25,49.0,578,2,269.19,Grocery,Mobile Android,Domestic Suburban,0,0,0
TXN_0000071,CUST_002902,119.5,2024-05-10 06:19:24,28.0,475,2,105.39,Grocery,Mobile Android,Domestic Urban,0,0,0
TXN_0000072,CUST_010037,170.77,2024-03-09 07:34:25,55.0,48,1,116.63,Dining,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000073,CUST_006128,45.85,2024-05-25 09:56:27,63.0,456,1,33.52,Dining,Mobile Android,Domestic Urban,0,1,0
TXN_0000074,CUST_000302,82.16,2024-05-08 12:47:39,44.0,740,2,54.0,Dining,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000075,CUST_007448,947.67,2024-03-05 13:37:53,49.0,852,1,1197.62,Grocery,Mobile iOS,Domestic Urban,0,0,0
TXN_0000076,CUST_011547,155.82,2024-04-22 15:40:36,42.0,216,2,164.33,Electronics,Mobile Android,Domestic Urban,0,0,0
TXN_0000077,CUST_009119,137.4,2024-05-15 17:19:12,47.0,98,1,102.65,Grocery,Tablet,Domestic Urban,0,0,0
TXN_0000078,CUST_002169,35.19,2024-04-25 17:44:40,39.0,453,4,49.42,Grocery,Mobile Android,International In-Person,0,0,0
TXN_0000079,CUST_004022,205.49,2024-05-25 18:33:36,24.0,129,1,342.97,Online Retail,Mobile Android,Domestic Rural,0,0,0
TXN_0000080,CUST_002534,59.96,2024-05-23 06:17:16,35.0,1096,1,87.93,Grocery,Desktop Safari,Domestic Suburban,0,0,0
TXN_0000081,CUST_000984,51.16,2024-05-03 21:29:07,55.0,1008,2,90.79,Online Retail,Mobile iOS,Domestic Suburban,0,2,0
TXN_0000082,CUST_007531,578.36,2024-03-27 11:35:06,28.0,206,1,304.69,Travel,Mobile iOS,Domestic Urban,0,0,0
TXN_0000083,CUST_003818,30.07,2024-05-16 13:02:01,25.0,328,3,92.09,Dining,Desktop Safari,Domestic Suburban,0,0,0
TXN_0000084,CUST_007334,53.91,2024-04-06 09:09:01,54.0,396,2,56.96,Dining,Mobile Android,International Online,0,0,0
TXN_0000085,CUST_003095,154.99,2024-05-03 15:30:30,44.0,1834,4,119.39,Grocery,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000086,CUST_005902,40.92,2024-03-07 10:09:42,18.0,687,2,106.86,Travel,Mobile iOS,Domestic Urban,0,0,0
TXN_0000087,CUST_000450,106.04,2024-04-12 23:05:44,18.0,1256,2,75.59,Electronics,Mobile iOS,Domestic Urban,0,0,0
TXN_0000088,CUST_006373,152.01,2024-04-11 13:43:35,32.0,973,1,105.71,Entertainment,Desktop Safari,Domestic Urban,0,0,0
TXN_0000089,CUST_006971,111.81,2024-05-26 12:45:31,26.0,455,1,110.42,Grocery,Mobile iOS,Domestic Urban,0,0,0
TXN_0000090,CUST_004659,27.06,2024-04-10 12:25:45,27.0,360,2,29.11,Dining,Mobile Android,Domestic Urban,0,0,0
TXN_0000091,CUST_005467,68.19,2024-03-21 22:08:35,41.0,302,1,53.7,Grocery,Mobile iOS,Domestic Urban,0,1,0
TXN_0000092,CUST_010339,112.1,2024-03-23 17:17:57,35.0,1856,2,75.53,Dining,Mobile iOS,Domestic Urban,0,0,0
TXN_0000093,CUST_011036,99.82,2024-04-07 23:31:11,51.0,535,1,112.91,Cryptocurrency,Desktop Chrome,Domestic Urban,0,0,0
TXN_0000094,CUST_000719,51.54,2024-05-27 08:40:13,64.0,185,1,53.49,Grocery,Mobile Android,Domestic Suburban,0,0,0
TXN_0000095,CUST_009810,86.47,2024-03-21 21:30:37,38.0,42,2,113.52,Grocery,Mobile Android,Domestic Urban,0,0,0
TXN_0000096,CUST_006062,394.36,2024-04-26 13:49:53,57.0,555,3,410.22,Grocery,Mobile iOS,Domestic Urban,0,0,0
TXN_0000097,CUST_010455,73.19,2024-03-04 15:08:22,55.0,272,2,116.73,Dining,Mobile Android,International Online,0,0,0
TXN_0000098,CUST_005986,407.19,2024-05-16 13:20:19,60.0,1314,4,407.89,Grocery,Mobile Android,Domestic Suburban,0,0,0
TXN_0000099,CUST_004638,99.71,2024-03-16 06:38:29,25.0,393,2,118.73,Grocery,Mobile Android,Domestic Suburban,0,0,0
TXN_0000100,CUST_005809,61.76,2024-03-27 11:24:29,,55,1,87.26,Dining,Mobile Android,Domestic Rural,0,0,0
TXN_0000101,CUST_005848,88.68,2024-04-02 16:17:54,67.0,228,1,89.26,Grocery,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000102,CUST_000586,128.8,2024-05-27 18:12:17,39.0,65,1,91.7,Dining,Mobile iOS,Domestic Urban,0,0,0
TXN_0000103,CUST_004180,168.94,2024-05-27 16:38:45,18.0,351,2,103.85,Grocery,Mobile iOS,Domestic Urban,0,0,0
TXN_0000104,CUST_007144,134.89,2024-05-14 12:44:10,29.0,959,1,106.42,Online Retail,Mobile Android,Domestic Urban,0,0,0
TXN_0000105,CUST_002530,45.17,2024-03-16 20:38:59,74.0,1909,1,50.43,Grocery,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000106,CUST_001260,1656.06,2024-05-17 15:56:11,28.0,584,2,2289.35,Dining,Mobile iOS,Domestic Urban,0,0,0
TXN_0000107,CUST_006998,129.47,2024-05-29 11:12:53,60.0,493,1,92.71,Online Retail,Mobile Android,Domestic Rural,0,0,0
TXN_0000108,CUST_006766,171.98,2024-05-28 07:20:47,44.0,1232,1,90.68,Grocery,Mobile iOS,Domestic Urban,0,1,0
TXN_0000109,CUST_011398,126.71,2024-03-06 13:26:02,53.0,1234,2,103.4,Entertainment,Mobile Android,Domestic Urban,0,0,0
TXN_0000110,CUST_000584,276.33,2024-03-29 13:52:50,,1399,3,369.07,Dining,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000111,CUST_008881,113.9,2024-05-02 21:09:25,38.0,412,1,117.7,Online Retail,Mobile iOS,Domestic Rural,0,0,0
TXN_0000112,CUST_008670,960.02,2024-05-28 16:28:50,46.0,550,1,2021.42,Travel,Mobile Android,Domestic Suburban,0,0,0
TXN_0000113,CUST_003995,60.4,2024-03-11 12:35:52,64.0,404,2,80.53,Dining,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000114,CUST_003770,61.5,2024-05-28 11:03:25,31.0,428,3,78.22,Gas & Fuel,Mobile Android,Domestic Urban,0,0,0
TXN_0000115,CUST_010705,15.61,2024-05-11 13:21:17,34.0,289,1,44.39,Electronics,Desktop Safari,Domestic Urban,0,0,0
TXN_0000116,CUST_007249,70.06,2024-04-18 14:26:54,42.0,161,3,49.39,Grocery,Mobile Android,Domestic Rural,0,0,0
TXN_0000117,CUST_011142,22.85,2024-05-02 06:34:40,52.0,344,3,26.67,Grocery,Mobile Android,Domestic Urban,0,0,0
TXN_0000118,CUST_009367,84.92,2024-05-19 10:37:10,42.0,1173,1,95.25,Gas & Fuel,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000119,CUST_010186,64.6,2024-03-05 17:27:34,50.0,1112,1,81.01,Online Retail,Mobile iOS,Domestic Rural,0,0,0
TXN_0000120,CUST_004123,31.17,2024-04-12 18:01:49,33.0,1450,2,69.22,Grocery,Mobile iOS,Domestic Rural,0,0,0
TXN_0000121,CUST_011041,265.65,2024-04-12 17:23:06,,1416,4,419.6,Grocery,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000122,CUST_006834,99.69,2024-03-13 18:23:39,44.0,1040,1,101.4,Dining,Mobile iOS,International In-Person,0,0,0
TXN_0000123,CUST_009482,125.17,2024-05-04 06:08:58,33.0,166,1,107.51,Online Retail,Mobile Android,Domestic Suburban,0,0,0
TXN_0000124,CUST_003598,464.57,2024-05-10 19:04:10,34.0,605,1,443.23,Online Retail,Mobile iOS,Domestic Rural,0,0,0
TXN_0000125,CUST_009619,128.53,2024-04-04 06:24:31,19.0,1841,1,89.4,Electronics,Mobile iOS,Domestic Urban,0,0,0
TXN_0000126,CUST_005358,87.95,2024-04-15 14:31:49,18.0,431,1,57.94,Entertainment,Mobile Android,Domestic Urban,0,0,0
TXN_0000127,CUST_002163,2.08,2024-05-05 00:23:27,49.0,483,18,52.1,Online Retail,Desktop Chrome,Domestic Rural,0,2,1
TXN_0000128,CUST_003924,193.92,2024-03-09 13:33:31,32.0,355,1,102.14,Entertainment,Desktop Safari,Domestic Suburban,0,0,0
TXN_0000129,CUST_010627,260.67,2024-03-12 18:22:41,44.0,1095,1,225.3,Grocery,Mobile iOS,Domestic Urban,0,0,0
TXN_0000130,CUST_005887,102.0,2024-04-13 08:06:40,31.0,110,2,90.4,Grocery,Mobile Android,Domestic Urban,0,0,0
TXN_0000131,CUST_008165,149.76,2024-03-04 17:21:41,21.0,1215,2,93.01,Electronics,Desktop Chrome,Domestic Urban,0,0,0
TXN_0000132,CUST_005537,27.21,2024-04-15 16:40:18,,1961,3,40.25,Electronics,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000133,CUST_005092,43.59,2024-05-11 10:23:15,51.0,2189,3,51.77,Electronics,Mobile Android,Domestic Urban,0,0,0
TXN_0000134,CUST_010866,96.08,2024-04-17 14:40:54,39.0,76,1,44.68,Electronics,Mobile Android,Domestic Urban,0,0,0
TXN_0000135,CUST_000078,19.65,2024-04-14 13:37:43,66.0,760,1,37.96,Dining,Mobile Android,Domestic Urban,0,0,0
TXN_0000136,CUST_010010,48.32,2024-05-07 17:04:29,21.0,41,1,40.69,Dining,Mobile iOS,Domestic Urban,0,0,0
TXN_0000137,CUST_003119,1607.72,2024-03-27 23:58:22,29.0,187,1,1530.59,Electronics,Desktop Chrome,Domestic Urban,0,0,0
TXN_0000138,CUST_008777,55.5,2024-04-04 10:24:19,34.0,38,1,112.96,Gas & Fuel,Mobile Android,Domestic Urban,0,0,0
TXN_0000139,CUST_009436,40.51,2024-04-12 13:32:12,,1343,3,38.11,Gas & Fuel,Mobile Android,Domestic Urban,0,0,0
TXN_0000140,CUST_001252,277.91,2024-05-11 12:52:09,39.0,1564,1,267.82,Grocery,Mobile iOS,Domestic Urban,0,0,0
TXN_0000141,CUST_006857,65.9,2024-05-15 18:23:11,48.0,156,1,44.53,Electronics,Mobile iOS,Domestic Urban,0,0,0
TXN_0000142,CUST_007187,580.65,2024-05-29 14:23:35,46.0,333,7,39.75,Online Retail,Mobile iOS,Domestic Suburban,0,1,1
TXN_0000143,CUST_002966,35.07,2024-04-29 06:27:15,43.0,833,2,49.87,Dining,Desktop Safari,Domestic Urban,0,0,0
TXN_0000144,CUST_008272,45.9,2024-05-07 12:36:15,35.0,1199,1,59.8,Dining,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000145,CUST_011415,163.83,2024-05-24 16:04:23,33.0,350,2,82.28,Grocery,Mobile iOS,Domestic Urban,0,0,0
TXN_0000146,CUST_005637,74.68,2024-04-27 22:11:57,58.0,174,3,109.44,Online Retail,Tablet,Domestic Urban,0,0,0
TXN_0000147,CUST_004947,1708.5,2024-04-07 08:19:22,77.0,821,1,1248.18,Electronics,Mobile Android,Domestic Urban,0,0,0
TXN_0000148,CUST_010646,24.28,2024-04-27 19:12:09,37.0,2867,3,58.11,Travel,Desktop Chrome,Domestic Urban,0,0,0
TXN_0000149,CUST_004097,433.49,2024-03-27 13:17:18,68.0,338,5,420.36,Dining,Desktop Chrome,Domestic Suburban,0,0,0
TXN_0000150,CUST_010183,83.25,2024-05-07 14:55:52,56.0,400,2,96.75,Gas & Fuel,Mobile Android,Domestic Suburban,0,0,0
TXN_0000151,CUST_008035,71.5,2024-04-06 06:01:21,58.0,445,1,114.74,Luxury Goods,Mobile Android,Domestic Suburban,0,0,0
TXN_0000152,CUST_004563,80.97,2024-03-14 12:57:56,61.0,228,1,59.72,Grocery,Mobile Android,Domestic Suburban,0,0,0
TXN_0000153,CUST_010564,28.02,2024-04-27 10:08:11,31.0,243,3,46.4,Grocery,Mobile iOS,Domestic Urban,0,0,0
TXN_0000154,CUST_010825,52.53,2024-05-19 23:25:11,56.0,1017,1,42.99,Entertainment,Desktop Chrome,Domestic Urban,0,0,0
TXN_0000155,CUST_003803,44.75,2024-05-07 18:10:24,36.0,1327,1,43.57,Electronics,Desktop Chrome,Domestic Suburban,0,0,0
TXN_0000156,CUST_005441,162.77,2024-05-23 10:44:38,,82,2,343.64,Dining,Tablet,International Online,0,0,0
TXN_0000157,CUST_005928,36.4,2024-04-21 12:44:40,23.0,52,1,48.91,Travel,Mobile Android,Domestic Urban,0,0,0
TXN_0000158,CUST_011712,70.94,2024-05-17 15:51:28,53.0,449,1,84.42,Grocery,Mobile iOS,Domestic Rural,0,0,0
TXN_0000159,CUST_008873,41.6,2024-03-10 09:43:09,38.0,135,2,29.5,Grocery,Mobile Android,Domestic Suburban,0,0,0
TXN_0000160,CUST_004397,73.03,2024-03-08 12:41:36,18.0,228,2,70.94,Dining,Mobile iOS,Domestic Urban,0,0,0
TXN_0000161,CUST_006172,42.04,2024-04-12 14:02:15,67.0,128,5,30.49,Travel,Mobile Android,Domestic Rural,0,0,0
TXN_0000162,CUST_007287,28.35,2024-05-13 12:30:48,72.0,37,1,33.67,Dining,Mobile iOS,Domestic Urban,0,0,0
TXN_0000163,CUST_007362,17.71,2024-04-18 22:44:09,47.0,128,1,43.47,Grocery,Mobile iOS,Domestic Urban,0,0,0
TXN_0000164,CUST_011833,332.05,2024-03-11 20:27:37,42.0,2290,1,393.81,Online Retail,Mobile Android,Domestic Suburban,0,0,0
TXN_0000165,CUST_006209,48.7,2024-05-22 15:26:55,37.0,121,1,82.53,Gas & Fuel,Desktop Chrome,Domestic Suburban,0,0,0
TXN_0000166,CUST_003021,87.49,2024-03-19 12:14:44,60.0,1222,1,115.4,Grocery,Desktop Chrome,Domestic Suburban,0,0,0
TXN_0000167,CUST_002580,131.91,2024-04-15 06:34:56,36.0,2077,2,103.36,Gas & Fuel,Mobile Android,Domestic Urban,0,0,0
TXN_0000168,CUST_007286,890.9,2024-05-09 00:13:18,23.0,498,4,106.71,Online Retail,,International Online,0,2,1
TXN_0000169,CUST_006084,232.6,2024-05-22 16:17:44,51.0,329,2,401.24,Dining,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000170,CUST_000253,74.91,2024-04-19 20:40:44,42.0,553,2,102.12,Electronics,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000171,CUST_007369,73.19,2024-05-12 07:43:06,39.0,86,1,76.72,Grocery,Mobile iOS,Domestic Rural,0,0,0
TXN_0000172,CUST_002732,62.3,2024-04-17 23:03:28,47.0,429,1,48.53,Grocery,Mobile Android,Domestic Urban,1,0,0
TXN_0000173,CUST_003722,23.03,2024-04-18 06:53:22,46.0,2142,2,37.44,Electronics,Mobile Android,International Online,0,0,0
TXN_0000174,CUST_002279,81.55,2024-04-08 07:02:44,66.0,632,4,83.26,Grocery,Desktop Chrome,Domestic Urban,0,0,0
TXN_0000175,CUST_000515,70.22,2024-03-11 17:20:55,55.0,1674,1,60.39,Entertainment,Desktop Safari,Domestic Urban,0,0,0
TXN_0000176,CUST_003569,452.41,2024-05-21 21:25:16,33.0,148,1,436.83,Dining,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000177,CUST_000704,145.74,2024-04-22 08:41:27,40.0,304,2,97.83,Entertainment,Mobile Android,Domestic Urban,0,0,0
TXN_0000178,CUST_002633,31.47,2024-03-29 12:10:34,51.0,52,1,38.11,Dining,,Domestic Urban,0,0,0
TXN_0000179,CUST_009662,176.81,2024-05-28 12:22:47,59.0,448,1,107.65,Gas & Fuel,Mobile iOS,Domestic Urban,0,0,0
TXN_0000180,CUST_011542,263.37,2024-04-02 08:36:15,57.0,508,2,287.71,Dining,Tablet,Domestic Urban,0,0,0
TXN_0000181,CUST_009397,119.43,2024-04-06 14:15:05,18.0,186,2,86.22,Grocery,Mobile Android,Domestic Rural,0,0,0
TXN_0000182,CUST_006752,129.2,2024-04-14 17:07:15,51.0,1256,3,79.56,Grocery,Mobile Android,Domestic Rural,0,0,0
TXN_0000183,CUST_007761,104.05,2024-04-18 19:52:28,53.0,411,1,42.25,Entertainment,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000184,CUST_003012,93.31,2024-03-16 06:48:27,30.0,240,1,74.71,Online Retail,Mobile Android,Domestic Suburban,0,1,0
TXN_0000185,CUST_001200,28.31,2024-04-05 20:28:34,43.0,257,2,46.18,Grocery,Mobile Android,Domestic Urban,0,0,0
TXN_0000186,CUST_008950,57.16,2024-03-23 13:36:51,41.0,326,1,79.05,Gas & Fuel,Mobile iOS,Domestic Urban,0,0,0
TXN_0000187,CUST_009843,25.93,2024-03-15 15:05:44,28.0,171,1,32.19,Grocery,Desktop Chrome,Domestic Rural,0,0,0
TXN_0000188,CUST_002467,158.15,2024-05-13 18:43:42,51.0,292,2,114.42,Grocery,Mobile iOS,Domestic Urban,0,0,0
TXN_0000189,CUST_006883,100.31,2024-03-07 08:19:16,41.0,160,3,64.77,Electronics,Mobile Android,Domestic Urban,0,0,0
TXN_0000190,CUST_009661,190.35,2024-04-27 17:37:37,28.0,1190,1,282.12,Dining,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000191,CUST_009025,622.65,2024-03-03 14:04:15,57.0,1810,4,291.87,Grocery,Mobile Android,International Online,0,0,0
TXN_0000192,CUST_011291,172.39,2024-04-28 20:34:18,25.0,239,2,195.59,Grocery,Mobile iOS,Domestic Suburban,0,0,0
TXN_0000193,CUST_002617,81.06,2024-04-29 15:18:02,,224,1,107.21,Grocery,Mobile Android,Domestic Urban,0,0,0
TXN_0000194,CUST_010603,388.52,2024-04-03 09:33:52,38.0,128,4,274.72,Dining,Mobile Android,Domestic Suburban,0,0,0
