applicant_id,income,loan_amount,loan_term_months,interest_rate,credit_score,employment_length_years,existing_debt,monthly_payment,dependents,home_ownership,loan_purpose,default
APP_000144,42419,6903,36,12.86,656,,18357.0,232.12,0,RENT,small_business,0
APP_000145,41974,9982,60,16.15,686,3.7,4899.0,243.54,0,MORTGAGE,medical,0
APP_000146,142696,9761,36,10.67,684,3.7,44379.0,318.04,2,RENT,debt_consolidation,0
APP_000147,56359,14103,36,17.14,562,25.2,8540.0,503.79,0,MORTGAGE,debt_consolidation,1
APP_000148,135972,45145,60,16.75,637,20.0,47834.0,1115.91,1,RENT,debt_consolidation,0
APP_000149,86387,9365,36,13.57,616,9.5,42651.0,318.12,2,RENT,major_purchase,0
APP_000150,44148,6697,36,11.94,695,12.8,,222.24,1,MORTGAGE,medical,0
APP_000151,127142,15932,36,6.37,850,7.6,21768.0,487.36,0,OWN,home_improvement,0
APP_000152,60417,23072,36,9.21,777,2.7,1409.0,735.94,2,MORTGAGE,debt_consolidation,0
APP_000153,160886,13693,36,12.99,655,6.3,4777.0,461.31,0,MORTGAGE,small_business,0
APP_000154,53043,6972,36,9.77,719,10.9,393.0,224.21,1,RENT,home_improvement,0
APP_000155,80245,7128,36,10.87,716,9.3,10459.0,232.92,0,MORTGAGE,major_purchase,0
APP_000156,76047,21187,60,13.6,675,0.7,5782.0,488.6,0,MORTGAGE,home_improvement,0
APP_000157,39557,7391,60,11.23,761,10.6,2410.0,161.55,2,RENT,debt_consolidation,1
APP_000158,27350,18461,60,13.97,738,2.1,13408.0,429.27,0,MORTGAGE,major_purchase,1
APP_000159,68770,15872,36,9.68,767,0.4,26745.0,509.76,1,MORTGAGE,debt_consolidation,0
APP_000160,24452,16505,36,15.35,628,3.4,4818.0,574.98,1,MORTGAGE,major_purchase,0
APP_000161,57795,39011,60,16.32,616,4.0,935.0,955.32,3,MORTGAGE,credit_card,0
APP_000162,58623,10927,36,16.51,524,1.3,20924.0,386.92,0,MORTGAGE,debt_consolidation,0
APP_000163,60592,13199,36,11.49,730,0.5,16149.0,435.19,0,MORTGAGE,debt_consolidation,0
APP_000164,31016,9759,36,17.03,540,3.2,2032.0,348.08,2,OWN,credit_card,1
APP_000165,57085,18634,60,16.09,613,3.7,13869.0,454.03,0,RENT,debt_consolidation,0
APP_000166,74139,6352,36,10.12,736,12.4,192.0,205.32,0,MORTGAGE,major_purchase,0
APP_000167,48932,18144,36,12.75,686,0.8,6049.0,609.16,0,MORTGAGE,home_improvement,0
APP_000168,57172,22376,36,6.11,787,9.6,5834.0,681.84,2,MORTGAGE,major_purchase,0
APP_000169,36314,13797,36,12.84,649,3.4,8093.0,463.81,3,RENT,debt_consolidation,0
APP_000170,121864,7893,36,15.57,591,5.6,17821.0,275.82,0,RENT,education,1
APP_000171,52051,4136,60,13.84,671,0.2,26376.0,95.89,0,RENT,debt_consolidation,1
APP_000172,75490,4812,36,8.25,747,10.5,12947.0,151.35,0,OWN,medical,0
APP_000173,93988,5884,36,9.62,717,3.5,70173.0,188.81,0,RENT,debt_consolidation,0
APP_000174,60202,27326,60,19.24,596,5.9,12838.0,712.46,0,MORTGAGE,education,1
APP_000175,283336,10560,36,16.24,567,1.6,98543.0,372.51,3,OWN,home_improvement,1
APP_000176,61787,7415,36,14.25,592,23.8,19501.0,254.33,2,MORTGAGE,credit_card,0
APP_000177,118282,28503,36,11.14,696,23.7,58179.0,935.04,2,RENT,home_improvement,1
APP_000178,238776,8083,60,13.95,694,15.7,18691.0,187.87,0,RENT,home_improvement,0
APP_000179,111772,17569,60,11.91,718,2.1,36024.0,390.01,2,RENT,small_business,0
APP_000180,43395,7981,36,11.06,695,4.0,15766.0,261.51,0,RENT,debt_consolidation,0
APP_000181,23353,12029,36,10.57,695,0.5,1798.0,391.37,2,MORTGAGE,home_improvement,0
APP_000182,60766,13890,36,10.46,732,14.2,5920.0,451.2,0,RENT,debt_consolidation,0
APP_000183,18000,12150,36,12.17,693,5.3,6452.0,404.54,0,MORTGAGE,home_improvement,0
APP_000184,44075,7827,36,10.99,746,,1.0,256.21,0,RENT,credit_card,0
APP_000185,55251,11187,36,10.63,691,11.0,3831.0,364.29,0,RENT,home_improvement,0
APP_000186,60610,2737,36,9.34,750,,13355.0,87.47,4,RENT,debt_consolidation,0
APP_000187,112529,15247,36,8.39,772,20.3,25579.0,480.53,3,MORTGAGE,home_improvement,0
APP_000188,18000,9950,36,13.66,681,3.7,6838.0,338.43,0,RENT,debt_consolidation,0
APP_000189,117185,30591,36,13.13,674,1.5,9777.0,1032.65,1,MORTGAGE,debt_consolidation,0
APP_000190,73552,21623,36,11.75,668,2.0,,715.61,0,RENT,debt_consolidation,0
APP_000191,58353,18953,36,14.52,605,4.1,9396.0,652.57,1,RENT,credit_card,0
APP_000192,70715,10613,60,9.2,796,22.4,275.0,221.34,0,RENT,home_improvement,0
APP_000193,33472,20653,60,18.65,569,0.0,4510.0,531.78,1,RENT,education,1
APP_000194,43970,13542,60,16.33,620,4.0,31831.0,331.69,0,MORTGAGE,debt_consolidation,1
APP_000195,53833,5745,60,16.68,656,5.8,13279.0,141.79,1,MORTGAGE,debt_consolidation,0
APP_000196,57260,7763,36,19.29,542,13.3,1816.0,285.7,0,MORTGAGE,debt_consolidation,0
APP_000197,201386,9261,36,11.85,680,0.5,8029.0,306.93,2,RENT,credit_card,0
APP_000198,84653,4727,60,13.56,707,1.7,10698.0,108.91,0,OWN,medical,0
APP_000199,83636,33027,36,13.33,681,8.5,3267.0,1118.07,0,RENT,home_improvement,0
APP_000200,92982,9842,60,14.83,664,1.6,11452.0,233.26,0,MORTGAGE,debt_consolidation,1
APP_000201,54334,5576,60,13.74,631,3.0,16776.0,128.99,4,OWN,debt_consolidation,0
APP_000202,127462,13484,36,12.38,635,,6997.0,450.31,0,MORTGAGE,credit_card,1
APP_000203,52898,7916,36,11.31,731,18.0,5068.0,260.32,0,MORTGAGE,credit_card,0
APP_000204,143785,23777,36,12.53,649,,7339.0,795.77,0,MORTGAGE,credit_card,0
APP_000205,18000,7194,60,13.97,694,10.0,8262.0,167.28,0,MORTGAGE,home_improvement,0
APP_000206,96725,20776,36,17.29,488,0.3,28820.0,743.72,0,OWN,debt_consolidation,0
APP_000207,127613,34503,60,14.48,606,10.2,30371.0,811.44,0,RENT,major_purchase,1
APP_000208,86177,26469,36,12.26,637,5.3,26978.0,882.44,0,OWN,debt_consolidation,1
APP_000209,92382,27088,60,15.55,666,10.5,40206.0,652.27,2,MORTGAGE,credit_card,1
APP_000210,32386,13311,36,15.97,588,23.0,3411.0,467.78,2,MORTGAGE,home_improvement,1
APP_000211,56292,22096,36,10.96,674,11.0,21040.0,722.98,2,RENT,education,0
APP_000212,179974,9786,36,10.84,682,11.9,13563.0,319.64,2,RENT,credit_card,0
APP_000213,96371,13979,36,14.79,577,5.1,7190.0,483.15,3,MORTGAGE,debt_consolidation,0
APP_000214,129283,6465,36,15.74,614,3.1,1656.0,226.46,2,RENT,debt_consolidation,0
APP_000215,122341,9608,36,6.17,788,1.3,105793.0,293.03,2,RENT,debt_consolidation,1
APP_000216,152128,12654,36,11.86,633,7.3,10465.0,419.45,0,MORTGAGE,debt_consolidation,0
APP_000217,44491,30031,36,12.99,693,0.5,3045.0,1011.72,0,OWN,debt_consolidation,1
APP_000218,127319,19119,60,11.7,756,5.6,6342.0,422.4,0,RENT,credit_card,0
APP_000219,58327,10399,36,12.59,676,5.2,,348.33,0,RENT,medical,0
APP_000220,41133,27764,36,13.99,669,8.3,9187.0,948.77,0,OWN,debt_consolidation,0
APP_000221,77794,40467,36,12.22,662,8.1,15972.0,1348.34,0,RENT,debt_consolidation,0
APP_000222,82812,23504,36,11.86,713,10.4,13427.0,779.1,1,OWN,debt_consolidation,0
APP_000223,119388,53739,60,7.1,850,1.9,7499.0,1066.63,3,RENT,credit_card,0
APP_000224,88972,13582,36,9.19,693,0.4,1131.0,433.11,0,MORTGAGE,debt_consolidation,0
APP_000225,50452,19010,36,6.92,788,6.4,23691.0,586.28,0,RENT,debt_consolidation,0
APP_000226,38013,18273,36,15.55,596,1.7,3076.0,638.37,1,MORTGAGE,debt_consolidation,0
APP_000227,69372,5375,36,17.81,513,17.0,29878.0,193.81,0,MORTGAGE,debt_consolidation,0
APP_000228,53414,10185,36,7.43,799,5.7,2123.0,316.49,1,RENT,debt_consolidation,1
APP_000229,33351,8048,36,11.46,684,0.5,1845.0,265.24,0,RENT,major_purchase,0
APP_000230,61062,4765,36,11.27,635,1.6,10458.0,156.61,3,RENT,credit_card,0
APP_000231,18000,10740,36,11.0,680,12.3,610.0,351.61,1,MORTGAGE,debt_consolidation,0
APP_000232,61534,41535,36,10.16,693,4.3,,1343.34,0,RENT,small_business,0
APP_000233,77215,11438,36,9.08,811,10.9,3442.0,364.15,2,MORTGAGE,credit_card,0
APP_000234,59783,23190,60,13.11,627,9.8,45297.0,528.95,0,OWN,debt_consolidation,1
APP_000235,128033,5911,36,11.48,643,3.4,2005.0,194.86,1,OTHER,debt_consolidation,0
APP_000236,134479,19716,36,10.23,752,0.1,23520.0,638.31,1,RENT,credit_card,0
APP_000237,97487,8363,36,10.52,739,9.7,4651.0,271.9,0,MORTGAGE,home_improvement,0
APP_000238,89123,43306,36,7.91,788,6.4,6195.0,1355.26,1,OWN,credit_card,0
APP_000239,53971,28320,36,15.15,574,14.3,12792.0,983.8,0,MORTGAGE,debt_consolidation,0
APP_000240,69847,18053,36,10.45,676,6.1,4723.0,586.34,0,RENT,debt_consolidation,0
APP_000241,45106,10762,36,11.03,723,0.6,8086.0,352.49,0,MORTGAGE,debt_consolidation,0
APP_000242,95693,21849,36,13.45,658,33.4,41096.0,740.92,2,MORTGAGE,debt_consolidation,0
APP_000243,37828,6118,36,13.45,661,0.1,120.0,207.47,2,RENT,credit_card,0
APP_000244,119285,10631,60,10.54,831,5.9,32250.0,228.71,1,MORTGAGE,credit_card,0
APP_000245,81000,20945,60,21.4,522,1.4,976.0,571.36,4,OTHER,credit_card,0
APP_000246,89954,8245,36,11.82,667,1.1,19996.0,273.14,1,MORTGAGE,home_improvement,0
APP_000247,197379,23161,36,13.95,640,10.9,70501.0,791.03,0,RENT,home_improvement,0
APP_000248,36071,9869,36,12.61,656,5.1,255.0,330.67,3,RENT,credit_card,0
APP_000249,35531,16116,36,10.43,726,,4889.0,523.28,0,OWN,home_improvement,0
APP_000250,79912,11909,36,9.29,703,16.7,5498.0,380.31,0,RENT,debt_consolidation,0
APP_000251,63961,10425,36,10.03,715,,6177.0,336.53,0,MORTGAGE,debt_consolidation,0
APP_000252,53708,19390,36,8.97,704,2.5,19243.0,616.33,0,MORTGAGE,debt_consolidation,0
APP_000253,80208,6180,36,11.82,604,1.9,22780.0,204.73,0,MORTGAGE,credit_card,0
APP_000254,52692,12941,36,8.16,740,4.6,15689.0,406.48,4,MORTGAGE,major_purchase,0
APP_000255,111669,15839,36,11.42,652,3.1,21271.0,521.7,0,RENT,home_improvement,0
APP_000256,20885,8999,36,9.06,744,6.5,8027.0,286.42,1,RENT,debt_consolidation,0
APP_000257,36037,17344,36,11.95,696,2.8,1526.0,575.65,0,MORTGAGE,debt_consolidation,0
APP_000258,54265,8828,36,11.1,720,1.8,7319.0,289.44,2,RENT,small_business,0
APP_000259,39534,12976,60,14.28,629,1.6,4888.0,303.82,0,OWN,credit_card,0
APP_000260,126047,22011,36,13.19,652,,19773.0,743.65,0,RENT,debt_consolidation,0
APP_000261,21030,14195,36,6.36,809,11.0,1526.0,434.16,0,RENT,debt_consolidation,0
APP_000262,145221,11918,36,14.4,633,0.8,2187.0,409.65,0,MORTGAGE,home_improvement,1
APP_000263,44562,20989,60,10.27,735,2.5,11124.0,448.75,4,RENT,credit_card,0
APP_000264,79398,23610,60,14.32,720,1.9,80632.0,553.29,4,RENT,debt_consolidation,1
APP_000265,26857,6555,36,13.36,650,2.5,20351.0,222.0,3,MORTGAGE,debt_consolidation,1
APP_000266,207233,7209,60,17.03,652,8.3,23472.0,179.28,1,MORTGAGE,major_purchase,0
APP_000267,123573,15507,36,16.91,597,1.9,9232.0,552.17,0,RENT,debt_consolidation,0
APP_000268,34031,19020,60,14.82,662,0.7,12879.0,450.69,3,MORTGAGE,debt_consolidation,0
APP_000269,26630,6848,36,14.39,607,,23087.0,235.35,2,MORTGAGE,debt_consolidation,1
APP_000270,83519,3865,60,7.46,836,0.7,949.0,77.37,1,RENT,debt_consolidation,0
APP_000271,89868,3272,60,17.09,579,1.7,8902.0,81.48,0,MORTGAGE,small_business,0
APP_000272,63732,10224,60,17.57,616,3.9,8616.0,257.24,0,MORTGAGE,debt_consolidation,0
APP_000273,73477,14829,36,10.86,713,,13351.0,484.5,0,RENT,debt_consolidation,0
APP_000274,76624,28378,36,13.96,611,16.7,28415.0,969.34,0,MORTGAGE,debt_consolidation,0
APP_000275,56460,10455,36,13.6,621,3.2,21814.0,355.3,1,MORTGAGE,debt_consolidation,1
APP_000276,71984,15466,36,10.12,756,1.6,15737.0,499.92,2,MORTGAGE,medical,0
APP_000277,44215,11488,36,8.59,816,7.9,4634.0,363.13,0,MORTGAGE,small_business,0
APP_000278,241014,12564,36,19.45,480,2.2,69105.0,463.41,0,MORTGAGE,debt_consolidation,1
APP_000279,61621,30746,36,11.75,723,9.2,1738.0,1017.54,4,RENT,debt_consolidation,0
APP_000280,44655,17202,36,14.98,602,4.7,,596.14,0,RENT,debt_consolidation,0
APP_000281,117805,10478,60,9.0,804,1.1,52561.0,217.51,0,RENT,small_business,0
APP_000282,69280,12606,60,15.27,641,3.0,13528.0,301.69,1,RENT,debt_consolidation,0
APP_000283,111675,29338,36,14.32,603,1.9,40245.0,1007.27,0,OWN,credit_card,1
